Name,Threads,Optimization,Time,N
var714_parallel,7,O0,18.700221,4096
var714_parallel,7,O3,7.079460,4096
var714_parallel,7,Ofast,3.603164,4096
var714_parallel,7,O1,11.268001,4096
var714_parallel,7,O2,10.112653,4096
var714_parallel,8,O0,25.526684,4096
var714_parallel,8,O1,11.212881,4096
var714_parallel,8,O3,6.215235,4096
var714_parallel,8,O2,10.939335,4096
var714_parallel,8,Ofast,4.749799,4096
var714_parallel,9,O2,10.581166,4096
var714_parallel,9,Ofast,4.947180,4096
var714_parallel,9,O1,7.982191,4096
var714_parallel,9,O0,20.662880,4096
var714_parallel,9,O3,5.445667,4096
var714_parallel,10,Ofast,4.976583,4096
var714_parallel,10,O0,26.017328,4096
var714_parallel,10,O3,6.475356,4096
var714_parallel,10,O2,8.383484,4096
var714_parallel,10,O1,8.976343,4096
var714_parallel,20,O0,22.857672,4096
var714_parallel,20,Ofast,4.735026,4096
var714_parallel,20,O2,8.169796,4096
var714_parallel,20,O3,4.311474,4096
var714_parallel,20,O1,7.501164,4096
var714_parallel,40,O3,5.392927,4096
var714_parallel,40,O0,13.454391,4096
var714_parallel,40,O2,3.944267,4096
var714_parallel,40,O1,5.394093,4096
var714_parallel,40,Ofast,3.153788,4096
var714_parallel,60,O0,6.676582,4096
var714_parallel,60,O2,3.469843,4096
var714_parallel,60,O1,3.924079,4096
var714_parallel,60,O3,3.183587,4096
var714_parallel,60,Ofast,3.170954,4096
var714_parallel,80,O3,4.202379,4096
var714_parallel,80,O0,6.502817,4096
var714_parallel,80,O1,3.873256,4096
var714_parallel,80,O2,3.638704,4096
var714_parallel,80,Ofast,3.732425,4096
var714_parallel,100,O1,3.424931,4096
var714_parallel,100,O0,6.069614,4096
var714_parallel,100,O3,3.588692,4096
var714_parallel,100,Ofast,2.641544,4096
var714_parallel,100,O2,3.526828,4096
var714_parallel,120,O0,6.041761,4096
var714_parallel,120,O3,3.648241,4096
var714_parallel,120,Ofast,2.953290,4096
var714_parallel,120,O2,4.011715,4096
var714_parallel,120,O1,3.594861,4096
var714_parallel,140,O2,3.952823,4096
var714_parallel,140,O1,3.820731,4096
var714_parallel,140,O0,4.903531,4096
var714_parallel,140,O3,4.052120,4096
var714_parallel,140,Ofast,3.557967,4096
var714_parallel_task,1,O0,92.592707,4096
